Load address: $1000 Init address: $1000 Play address: $1003
Calling initroutine with subtune 0
Calling playroutine for 400 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   177 | ....  ... ..  09 007C ... | ....  ... ..  .. .... BA6 | ....  ... ..  .. .... BA6 | 0800 .. ... . |
|   178 | 041C  B-1 97  41 .... 440 | ....  ... ..  .. .... BAC | ....  ... ..  .. .... BAC | 0900 .. ... . |
|   179 | ....  ... ..  .. .... 450 | 057C (E-2 9C) .. .... BB2 | 0628 (F#2 9E) .. .... BB2 | 0A00 .. ... . |
|   180 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0B00 .. ... . |
|   181 | ....  ... ..  .. .... 460 | ....  ... ..  .. .... BB8 | ....  ... ..  .. .... BB8 | 0C00 .. ... . |
|   182 | ....  ... ..  .. .... 470 | 0752 (A-2 A1) .. .... BBE | 0837 (B-2 A3) .. .... BBE | 0D00 .. ... . |
|   183 | ....  ... ..  .. .... 480 | ....  ... ..  .. .... BC4 | ....  ... ..  .. .... BC4 | 0E00 .. ... . |
|   184 | ....  ... ..  .. .... 490 | ....  ... ..  .. .... BCA | ....  ... ..  .. .... BCA | 0F00 .. ... . |
|   185 | ....  ... ..  .. .... ... | 045A (C-2 98) .. .... ... | 04E2 (D-2 9A) .. .... ... | 1000 .. ... . |
|   186 | ....  ... ..  .. .... 4A0 | ....  ... ..  .. .... BD0 | ....  ... ..  .. .... BD0 | 1100 .. ... . |
|   187 | ....  ... ..  .. .... 4B0 | ....  ... ..  .. .... BD6 | ....  ... ..  .. .... BD6 | 1200 .. ... . |
|   188 | ....  ... ..  .. .... 4C0 | 057C (E-2 9C) .. .... BDC | 0628 (F#2 9E) .. .... BDC | 1300 .. ... . |
|   189 | ....  ... ..  .. .... 4D0 | ....  ... ..  .. .... BE2 | ....  ... ..  .. .... BE2 | 1400 .. ... . |
|   190 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1500 .. ... . |
|   191 | ....  ... ..  .. .... 4E0 | 0752 (A-2 A1) .. .... BE8 | 0837 (B-2 A3) .. .... BE8 | 1600 .. ... . |
|   192 | ....  ... ..  .. .... 4F0 | ....  ... ..  .. .... BEE | ....  ... ..  .. .... BEE | 1700 .. ... . |
|   193 | ....  ... ..  .. .... 500 | ....  ... ..  .. .... BF4 | ....  ... ..  .. .... BF4 | 1800 .. ... . |
|   194 | ....  ... ..  .. .... 510 | 045A (C-2 98) .. .... BFA | 04E2 (D-2 9A) .. .... BFA | 1900 .. ... . |
|   195 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1A00 .. ... . |
|   196 | ....  ... ..  .. .... 520 | ....  ... ..  .. .... C00 | ....  ... ..  .. .... C00 | 1B00 .. ... . |
