Load address: $C000 Init address: $C048 Play address: $C021
Calling initroutine with subtune 0
Calling playroutine for 400 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   174 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 932 | ....  ... ..  .. .... ... | .... .. ... . |
|   175 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 9B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   176 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... A32 | ....  ... ..  .. .... ... | .... .. ... . |
|   177 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... AB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   178 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... B32 | ....  ... ..  .. .... ... | .... .. ... . |
|   179 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... BB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   180 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... C32 | ....  ... ..  .. .... ... | .... .. ... . |
|   181 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... CB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   182 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... D32 | ....  ... ..  .. .... ... | .... .. ... . |
|   183 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... DB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   184 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... E32 | ....  ... ..  .. .... ... | .... .. ... . |
|   185 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... EB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   186 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... F32 | ....  ... ..  .. .... ... | .... .. ... . |
|   187 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... FB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   188 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 032 | ....  ... ..  .. .... ... | .... .. ... . |
|   189 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 0B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   190 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 132 | ....  ... ..  .. .... ... | .... .. ... . |
|   191 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 1B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   192 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   193 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 2B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   194 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 332 | ....  ... ..  .. .... ... | .... .. ... . |
|   195 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 3B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   196 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 432 | ....  ... ..  .. .... ... | .... .. ... . |
|   197 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 4B2 | ....  ... ..  .. .... ... | .... .. ... . |
